sample_record_id,establishment_code,facility_type,risk,inspection_date,inspection_type,results,violation_summary,violation_category,ticket_candidate,proposed_priority
R001,EST-001,School,Risk 1 (High),2026-06-05,Canvass Re-Inspection,Pass,Low hot water pressure at hand sinks in teacher washroom; instructed to provide better pressure for proper hand washing.,Plumbing / Handwashing,Monitor,Medium
R002,EST-002,Restaurant,Risk 1 (High),2026-06-05,Canvass,Pass,Food containers stored on floor; milk crates used as shelving; no covered receptacle in employee washroom.,Food Storage / Facility Cleanliness,Monitor,Medium
R003,EST-003,Grocery Store / Gas Station,Risk 1 (High),2026-06-05,Complaint,Pass w/ Conditions,Handwash sink obstructed/misused; missing paper towels; no discard date; labeling issue; food handler without hair restraint.,Handwashing / Labeling / Personal Cleanliness,Yes,High
R004,EST-004,Grocery Store,Risk 1 (High),2026-06-05,Canvass,Pass w/ Conditions,No valid sanitation certificate; cardboard on shelving; sink labeling issue; washroom fixtures need cleaning; cluttered storage room.,Certification / Facility Cleanliness,Yes,High
R005,EST-005,Grocery Store,Risk 3 (Low),2026-06-05,Canvass,Pass,No violation notes in API preview.,No Notes,No,Low
R006,EST-006,Bakery,Risk 1 (High),2026-06-04,License Re-Inspection,Pass,Missing barrier near drain board/hand sink; clean-in-place procedure needed; floor drains need cleaning.,Equipment / Facility Cleanliness,Monitor,Medium
R007,EST-007,Restaurant,Risk 1 (High),2026-06-04,Canvass,Pass,No proof of food handler training for employees.,Employee Training,Monitor,Medium
R008,EST-008,Restaurant,Risk 1 (High),2026-06-04,Short Form Complaint,Pass,Handwashing sink leak; improper thawing; rear door pest-proofing issue; hair restraint issue; cutting board/equipment/floor cleaning issues.,Handwashing / Pest Control / Cleanliness,Monitor,Medium
R009,EST-009,Restaurant,Risk 1 (High),2026-06-04,Canvass Re-Inspection,Pass,Grease and food debris on cooking equipment and surfaces; ceiling/walls/vents need cleaning.,Equipment / Facility Cleanliness,Monitor,Medium
R010,EST-010,Restaurant,Risk 1 (High),2026-06-04,Complaint,Pass w/ Conditions,Handwashing sink inaccessible; improper storage of kitchenware; cooling unit and floors need cleaning.,Handwashing / Facility Cleanliness,Yes,High
R011,EST-011,Restaurant,Risk 2 (Medium),2026-06-03,Complaint,Pass w/ Conditions,Violation notes include handwashing-related issue in API preview.,Handwashing,Yes,Medium
R012,EST-012,Restaurant,Risk 1 (High),2026-05-28,Canvass,Fail,No chemical test kit for sanitizer concentration; three-compartment sink not maintained and draining improperly.,Warewashing / Plumbing,Yes,High
R013,EST-013,Restaurant,Risk 1 (High),2026-05-28,Canvass,Fail,No certified foodservice manager; menu disclosure issues; mouse droppings; no service sink; facility cleaning and training issues.,Certification / Pest Control / Plumbing / Training,Yes,High
R014,EST-014,Restaurant,Risk 1 (High),2026-05-28,Complaint,Fail,Unlabeled bulk food container; outside dumpster area not clean with garbage spillage.,Labeling / Waste Management,Yes,High
R015,EST-015,Long Term Care,Risk 1 (High),2026-05-28,Canvass Re-Inspection,Fail,No exposed handwashing sink in serving/dining areas; dead roaches observed in food prep/storage area.,Handwashing / Pest Control,Yes,High
R016,EST-016,Restaurant,Risk 1 (High),2026-05-28,Canvass,Pass,Food labeling issue; splashguard missing; grease bin buildup; floors need cleaning; allergen training proof missing.,Labeling / Contamination Prevention / Cleanliness / Training,Monitor,Medium
R017,EST-017,Restaurant,Risk 1 (High),2026-05-28,Canvass Re-Inspection,Pass,Vent above prep station has dust/dirt buildup; partial food handler certification; allergen training not available.,Ventilation / Employee Training,Monitor,Medium
R018,EST-018,Restaurant,Risk 1 (High),2026-05-26,Canvass Re-Inspection,Pass w/ Conditions,Sanitation certificate / follow-up items noted in API preview.,Certification / Follow-Up,Yes,High
